,lemma
0,Nõugaste,1
1,turbaauk,1
2,lillepaviljon,1
3,transpordikomisjon,0
4,turismihooaeg,0
5,tsiviilvorm,0
6,villipubi,1
7,Svalbard,1
8,proua,0
9,rumm,0
10,aedik,1
11,sekretär,0
12,toosama,0
13,veevärk,0
14,ranne,0
15,kiire,0
16,luukontroll,0
17,kalastusvöönd,1
18,ristilöömine,0
19,ravikindlustusnõukogu,0
20,keep,0
21,Lembit,0
22,revüüteater,1
23,fonoteek,1
24,Varasem,0
25,KaksPoissiTallinn,0
26,arhitektuuriinstituut,0
27,inlite,0
28,vangistusülem,0
29,uhu,0
30,advokaadibüroo,1
31,masšuud,0
32,töökäsi,0
33,puiatu,1
34,Sopot,1
35,P70,0
36,7000rpm,0
37,nägemiskontroll,0
38,Hebroni,1
39,dopinguäri,0
40,potilill,0
41,shamaanipaar,0
42,aastapäevanäitus,1
43,kaitsepolitseiamet,0
44,telefoniputka,1
45,jooksutund,0
46,õhtune,0
47,stamp,0
48,mudel,0
49,kurus,1
50,ribi,0
51,Darwin,0
52,ususeminar,0
53,modelliamet,0
54,maailm,1
55,kalarand,1
56,soomaa,1
57,lumelaud,0
58,papademo,0
59,luure,0
60,veefestival,0
61,taimima,0
62,alavesi,0
63,järgmine,0
64,VAAP,0
65,metsasügavus,0
66,läbiotsimine,0
67,ametitool,0
68,kaVenemaa,0
69,Nagano-võistkond,0
70,kohtla-järv,0
71,missugune,0
72,latter,1
73,finantseerimine,0
74,kabinetiistung,0
75,näevi,0
76,läbirääkimi,0
77,leivatootmine,0
78,kruupink,0
79,Kansas,1
80,sünd,0
81,valitsemiskuu,0
82,teoloogiaseminar,0
83,härrasrahvas,0
84,soosaar,1
85,parlament,0
86,kilja,0
87,pasteerim,0
88,kassaruum,1
89,Firenighti,0
90,ravimine,0
91,linnarahvas,0
92,videomakk,0
93,messikeskus,1
94,puue,0
95,kukke,0
96,taevaskoda,1
97,modem,0
98,ID,0
99,tuur,0
100,põhivorm,0
101,peasaal
102,zoloogia
103,biokeskus
104,sõjaretk
105,ravivõimlem
106,kuulirahe
107,muuseumiöö
108,jääpank
109,Williams
110,taastamine
111,element
112,vaegarenguala
113,lihas
114,spagaat
115,politseiaed
116,tlns
117,heliagedus
118,vokaalstuudio
119,võõrusetendus
120,arvutimonitor
121,ootepink
122,mihklikuu
123,moenädal
124,tantsumaraton
125,rahvusooper
126,luurekeskus
127,järvesuu
128,KHK
129,kambja
130,kontsaklõbin
131,jane
132,Laenutuspunkt
133,sisemaa
134,Toronto
135,ciel
136,Bråtveiti
137,talvepäev
138,küün
139,randmeoperatsioon
140,padaja
141,Saksa
142,näitlejatee
143,Surfer
144,motoüritus
145,meka
146,kahin
147,rahvuslikkus
148,Smuuli
149,vägivallaähvardus
150,protestimarss
151,60C
152,Leida
153,väljaõpe
154,estraadistuudio
155,lossikirik
156,lootusetus
157,olümpiahooaeg
158,Ehlvest
159,meditsiiniringkond
160,jääliustik
161,Halonen
162,kitsus
163,noorsoolikas
164,banaanivabariik
165,slaidiprojektor
166,Kozlov
167,estraadilava
168,jkodu
169,superseksikas
170,anatoomikum
171,semiootika
172,vuuk
173,presidendiaeg
174,tänavakivi
175,nyd
176,omavalitsusvalimine
177,konfliktikolle
178,metallilagu
179,elektrienergeetika
180,neitsi
181,jalakäijasild
182,tööriistatera
183,patarei
184,teave
185,mardipäev
186,saateansambel
187,äärejoon
188,paadinina
189,Lublino
190,turvaraja
191,vannitoauks
192,MTÜ
193,laevavrakk
194,kanada
195,A-kategooria
196,talasso
197,Ristna
198,maapind
199,eraelu
200,taliolümpia
201,peksmine
202,uks
203,surnuaiavõte
204,Novatourss
205,em
206,söögikoht
207,laulukool
208,allikas
209,kiirendamine
210,tagasistumine
211,Oslo
212,äratõukepakk
213,kontoriruum
214,komsomoli-koosolek
215,psühhoteraapia
216,tõusuund
217,Kristiine
218,hõimurahvas
219,pere
220,sõja-aasta
221,escape
222,tootmishoone
223,õppepolk
224,vms
225,kriisitendents
226,vanglakamber
227,püsitöö
228,Surnumeri
229,kehava
230,tehnikaülikool
231,vahetusmeestepink
232,raatus
233,vändra
234,Taimõr
235,Donetsk
236,Rhodose
